"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOMECOMP","TOT","PC_HH","A","2006",84.9749,
"DNK","HOMECOMP","TOT","PC_HH","A","2007",82.9604,
"DNK","HOMECOMP","TOT","PC_HH","A","2008",85.4588,
"DNK","HOMECOMP","TOT","PC_HH","A","2009",86.2344,
"DNK","HOMECOMP","TOT","PC_HH","A","2010",88.0249,
"DNK","HOMECOMP","TOT","PC_HH","A","2011",90.4412,
"DNK","HOMECOMP","TOT","PC_HH","A","2012",92.2643,
"DNK","HOMECOMP","TOT","PC_HH","A","2013",93.0825,
"DNK","HOMECOMP","TOT","PC_HH","A","2015",92.2751,
"DNK","HOMECOMP","TOT","PC_HH","A","2017",93.1369,
"DEU","HOMECOMP","TOT","PC_HH","A","2006",76.8558,
"DEU","HOMECOMP","TOT","PC_HH","A","2007",78.6466,
"DEU","HOMECOMP","TOT","PC_HH","A","2008",81.8193,
"DEU","HOMECOMP","TOT","PC_HH","A","2009",84.0926,
"DEU","HOMECOMP","TOT","PC_HH","A","2010",85.7406,
"DEU","HOMECOMP","TOT","PC_HH","A","2011",86.8648,
"DEU","HOMECOMP","TOT","PC_HH","A","2012",87.0997,
"DEU","HOMECOMP","TOT","PC_HH","A","2013",88.8744,
"DEU","HOMECOMP","TOT","PC_HH","A","2015",90.9926,
"DEU","HOMECOMP","TOT","PC_HH","A","2017",92.8656,
"ISL","HOMECOMP","TOT","PC_HH","A","2006",84.6127,
"ISL","HOMECOMP","TOT","PC_HH","A","2007",89.1498,
"ISL","HOMECOMP","TOT","PC_HH","A","2008",91.9216,
"ISL","HOMECOMP","TOT","PC_HH","A","2009",92.4591,
"ISL","HOMECOMP","TOT","PC_HH","A","2010",93.056,
"ISL","HOMECOMP","TOT","PC_HH","A","2011",94.66,
"ISL","HOMECOMP","TOT","PC_HH","A","2012",95.5166,
"ISL","HOMECOMP","TOT","PC_HH","A","2013",96.7106,
"ISL","HOMECOMP","TOT","PC_HH","A","2017",97.2972,
"JPN","HOMECOMP","TOT","PC_HH","A","2005",80.5,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2006",80.8,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2007",85,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2008",85.9,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2009",87.2,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2010",83.4,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2011",80,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2012",77.9,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2013",81.7,
"JPN","HOMECOMP","TOT","PC_HH","A","2014",78,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2015",76.8,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2016",73,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2017",72.5,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2018",74,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2019",69.1,"D"
"CZE","HOMECOMP","TOT","PC_HH","A","2006",39.0395,
"CZE","HOMECOMP","TOT","PC_HH","A","2007",43.3968,
"CZE","HOMECOMP","TOT","PC_HH","A","2008",52.4138,
"CZE","HOMECOMP","TOT","PC_HH","A","2009",59.5863,
"CZE","HOMECOMP","TOT","PC_HH","A","2010",64.0561,
"CZE","HOMECOMP","TOT","PC_HH","A","2011",69.8985,
"CZE","HOMECOMP","TOT","PC_HH","A","2012",74.558,
"CZE","HOMECOMP","TOT","PC_HH","A","2013",73.8672,
"CZE","HOMECOMP","TOT","PC_HH","A","2015",78.9377,
"CZE","HOMECOMP","TOT","PC_HH","A","2017",82.1815,
"FRA","HOMECOMP","TOT","PC_HH","A","2007",65.5494,
"FRA","HOMECOMP","TOT","PC_HH","A","2008",68.3557,
"FRA","HOMECOMP","TOT","PC_HH","A","2009",74.2203,
"FRA","HOMECOMP","TOT","PC_HH","A","2010",76.4499,
"FRA","HOMECOMP","TOT","PC_HH","A","2011",78.1792,
"FRA","HOMECOMP","TOT","PC_HH","A","2012",81.0122,
"FRA","HOMECOMP","TOT","PC_HH","A","2013",81.5595,
"FRA","HOMECOMP","TOT","PC_HH","A","2015",81.5481,
