"LOCATION","CBH","EMP","EXP","INT","INV"
"AUT",76.1859,2.936,6407,79.2846,12.287206
"CHE",83.6,5.363,3419,85.5,17.731053
"DEU",85.7406,3.941,67643,85.4999,13.965183
"DNK",88.0249,4.437,3821,91.9976,24.573655
"ESP",67.4256,2.656,4559,66.5907,13.132556
"FIN",81.9856,6.427,3872,86.7993,14.279479
"FRA",76.4499,3.33,24686,80.0043,16.237113
"GBR",82.5671,4.267,23234,86.796,23.765698
"IRL",76.464,5.247,7306,81.0867,8.8717423
"ITA",64.8464,3.15,10990,62.9165,10.741382
"NLD",91.9733,3.541,62527,93.5476,19.548252
"SWE",89.5021,4.492,17108,91.6917,23.037414
"USA",74.87,3.797,139927,74.76,26.31124
