"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ICTEMP","TOT","PC","A","2011",2.936,
"BEL","ICTEMP","TOT","PC","A","2011",2.671,
"CAN","ICTEMP","TOT","PC","A","2011",2.605,
"CZE","ICTEMP","TOT","PC","A","2011",3.247,
"DNK","ICTEMP","TOT","PC","A","2011",4.437,
"FIN","ICTEMP","TOT","PC","A","2011",6.427,
"FRA","ICTEMP","TOT","PC","A","2011",3.33,
"DEU","ICTEMP","TOT","PC","A","2011",3.941,
"GRC","ICTEMP","TOT","PC","A","2011",1.846,
"HUN","ICTEMP","TOT","PC","A","2011",4.936,
"IRL","ICTEMP","TOT","PC","A","2011",5.247,
"ITA","ICTEMP","TOT","PC","A","2011",3.15,
"JPN","ICTEMP","TOT","PC","A","2011",4.737,
"LUX","ICTEMP","TOT","PC","A","2011",4.426,
"NLD","ICTEMP","TOT","PC","A","2011",3.541,
"NOR","ICTEMP","TOT","PC","A","2011",3.309,
"PRT","ICTEMP","TOT","PC","A","2011",1.879,
"SVK","ICTEMP","TOT","PC","A","2011",3.335,
"ESP","ICTEMP","TOT","PC","A","2011",2.656,
"SWE","ICTEMP","TOT","PC","A","2011",4.492,
"CHE","ICTEMP","TOT","PC","A","2011",5.363,
"GBR","ICTEMP","TOT","PC","A","2011",4.267,
"USA","ICTEMP","TOT","PC","A","2011",3.797,
"EST","ICTEMP","TOT","PC","A","2011",4.389,
"SVN","ICTEMP","TOT","PC","A","2011",3.368,
"OECD","ICTEMP","TOT","PC","A","2011",3.7,
