"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2000",1727,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2001",1619,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2002",1456,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2003",1571,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2004",1713,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2005",1781,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2006",1788,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2007",1917,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2008",2071,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2009",1643,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2010",1989,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2011",2275,
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2012",2241,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2000",3941,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2001",4006,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2002",4533,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2003",5004,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2004",5908,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2005",6467,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2006",6710,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2007",7295,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2008",7439,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2009",5242,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2010",5704,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2011",6407,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2012",6112,
"BEL","ICTGOODSEXP","TOT","MLN_USD","A","2000",10825,
"BEL","ICTGOODSEXP","TOT","MLN_USD","A","2001",11453,
"BEL","ICTGOODSEXP","TOT","MLN_USD","A","2002",9734,
